player_name,role,total_runs,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,percentage
V Kohli,Batter,13784,15031,7,681,671,579,579,0,360,219,41,India,62.18
KC Sangakkara,Batter,11618,14634,0,0,0,510,510,0,237,273,26,Sri Lanka,46.47
RG Sharma,Batter,10646,11782,11,538,614,577,577,0,358,219,23,India,62.05
MS Dhoni,Batter,10274,12090,1,32,38,575,575,0,356,219,20,India,61.91
AB de Villiers,Batter,9435,9488,7,205,201,466,466,0,286,180,26,South Africa,61.37
TM Dilshan,Batter,9212,10777,97,4197,5141,510,510,0,237,273,24,Sri Lanka,46.47
LRPL Taylor,Batter,8126,10040,0,35,45,444,444,0,231,213,16,New Zealand,52.03
DPMD Jayawardene,Batter,8040,10232,2,63,72,510,510,0,237,273,12,Sri Lanka,46.47
HM Amla,Batter,7834,9058,0,0,0,470,470,0,290,180,16,South Africa,61.7
Tamim Iqbal,Batter,7648,9979,0,13,7,345,345,0,134,211,13,Bangladesh,38.84
MJ Guptill,Batter,7125,8358,4,100,116,444,444,0,231,213,22,New Zealand,52.03
Mushfiqur Rahim,Batter,7094,8986,0,0,0,345,345,0,134,211,9,Bangladesh,38.84
MJ Clarke,Batter,6988,9095,56,1868,2264,545,545,0,381,164,10,Australia,69.91
RT Ponting,Batter,6979,8658,0,0,0,545,545,0,381,164,17,Australia,69.91
EJG Morgan,Batter,6953,7767,0,0,0,517,517,0,295,222,12,England,57.06
Yuvraj Singh,Batter,6868,8037,99,3438,4028,579,579,0,360,219,20,India,62.18
S Dhawan,Batter,6733,7524,0,0,0,577,577,0,358,219,11,India,62.05
Q de Kock,Batter,6661,7024,0,0,0,470,470,0,290,180,19,South Africa,61.7
DA Warner,Batter,6623,6974,0,8,6,545,545,0,381,164,16,Australia,69.91
WU Tharanga,Batter,6482,8845,0,0,0,512,512,0,237,275,11,Sri Lanka,46.29
CH Gayle,Batter,6433,7434,112,3569,4517,427,427,0,165,262,13,West Indies,38.64
SR Tendulkar,Batter,6432,7607,31,1420,1545,574,574,0,356,218,16,India,62.02
Mohammad Hafeez,Batter,6351,8347,142,5081,7303,468,468,0,227,241,19,Pakistan,48.5
V Sehwag,Batter,5692,5584,58,2083,2475,574,574,0,356,218,15,India,62.02
Babar Azam,Batter,5659,6513,0,0,0,462,462,0,223,239,13,Pakistan,48.27
AD Mathews,Batter,5646,6934,137,4068,5205,512,512,0,237,275,9,Sri Lanka,46.29
SK Raina,Batter,5585,6147,42,1832,2147,579,579,0,360,219,11,India,62.18
SPD Smith,Batter,5549,6499,29,985,1081,543,543,0,381,162,11,Australia,70.17
F du Plessis,Batter,5445,6288,2,191,197,470,470,0,290,180,9,South Africa,61.7
SR Watson,Batter,5357,5949,162,4780,5690,544,544,0,381,163,15,Australia,70.04
IR Bell,Batter,5289,6997,6,89,92,518,518,0,295,223,9,England,56.95
AJ Finch,Batter,5188,6135,5,259,287,544,544,0,381,163,7,Australia,70.04
BB McCullum,Batter,5157,5457,0,0,0,443,443,0,231,212,5,New Zealand,52.14
BRM Taylor,Batter,5130,6929,4,279,262,277,277,0,66,211,4,Zimbabwe,23.83
Mahmudullah,Batter,5127,6795,83,3605,4086,345,345,0,134,211,4,Bangladesh,38.84
MEK Hussey,Batter,5076,6012,4,237,249,545,545,0,381,164,11,Australia,69.91
JC Buttler,Batter,5018,4370,0,0,0,519,519,0,295,224,13,England,56.84
SD Hope,Batter,4989,6384,0,0,0,430,430,0,166,264,9,West Indies,38.6
G Gambhir,Batter,4981,5933,0,13,8,579,579,0,360,219,11,India,62.18
JP Duminy,Batter,4928,5986,74,3094,3460,470,470,0,290,180,7,South Africa,61.7
Younis Khan,Batter,4777,6411,1,217,222,469,469,0,227,242,10,Pakistan,48.4
Misbah-ul-Haq,Batter,4752,6549,0,30,24,469,469,0,227,242,7,Pakistan,48.4
DA Miller,Batter,4466,4441,0,0,0,470,470,0,290,180,4,South Africa,61.7
ST Jayasuriya,Batter,4402,4778,105,3194,4004,510,510,0,237,273,14,Sri Lanka,46.47
AC Gilchrist,Batter,4355,4260,0,0,0,538,538,0,376,162,13,Australia,69.89
JJ Roy,Batter,4237,4116,0,0,0,519,519,0,295,224,12,England,56.84
MN Samuels,Batter,4205,5654,66,2952,3692,426,426,0,165,261,12,West Indies,38.73
KP Pietersen,Batter,4202,4990,8,368,403,518,518,0,295,223,9,England,56.95
PD Collingwood,Batter,4132,5497,96,3444,4250,518,518,0,295,223,10,England,56.95
TWM Latham,Batter,4019,4819,0,0,0,439,439,0,228,211,8,New Zealand,51.94
L Wolvaardt,Batter,3992,5606,0,0,0,471,471,0,290,181,6,South Africa,61.57
H Masakadza,Batter,3955,5646,22,1174,1249,277,277,0,66,211,3,Zimbabwe,23.83
ML Hayden,Batter,3939,4956,0,0,0,540,540,0,378,162,5,Australia,70
TT Beaumont,Batter,3936,5272,0,0,0,513,513,0,292,221,10,England,56.92
BKG Mendis,Batter,3838,4515,0,28,20,512,512,0,237,275,6,Sri Lanka,46.29
S Chanderpaul,Batter,3804,5605,0,20,26,424,424,0,164,260,7,West Indies,38.68
HH Gibbs,Batter,3766,4434,0,0,0,466,466,0,286,180,9,South Africa,61.37
AJ Strauss,Batter,3729,4732,0,3,6,518,518,0,295,223,7,England,56.95
RR Sarwan,Batter,3717,5143,16,393,383,427,427,0,165,262,6,West Indies,38.64
JM Bairstow,Batter,3671,3682,0,0,0,516,516,0,294,222,11,England,56.98
LD Chandimal,Batter,3657,5072,0,0,0,508,508,0,236,272,6,Sri Lanka,46.46
GJ Maxwell,Batter,3655,3031,78,3441,3812,544,544,0,381,163,11,Australia,70.04
R Dravid,Batter,3650,5133,0,0,0,573,573,0,356,217,5,India,62.13
MM Lanning,Batter,3555,3985,1,44,45,527,527,0,367,160,11,Australia,69.64
S Mandhana,Batter,3526,4007,1,36,24,578,578,0,359,219,11,India,62.11
Fakhar Zaman,Batter,3434,3721,1,112,135,461,461,0,222,239,9,Pakistan,48.16
EA Perry,Batter,3356,4290,83,2352,3198,533,533,0,372,161,16,Australia,69.79
PR Stirling,Batter,3338,3911,26,1227,1485,164,164,0,60,104,7,Ireland,36.59
E Chigumbura,Batter,3266,4235,88,3551,3753,277,277,0,66,211,6,Zimbabwe,23.83
SW Bates,Batter,3245,4278,25,1098,1326,433,433,0,225,208,6,New Zealand,51.96
AN Cook,Batter,3204,4238,0,0,0,517,517,0,295,222,7,England,57.06
HDRL Thirimanne,Batter,3164,4444,3,94,107,506,506,0,236,270,2,Sri Lanka,46.64
HC Knight,Batter,3158,4205,48,1020,1392,507,507,0,291,216,8,England,57.4
MDKJ Perera,Batter,3077,3375,0,0,0,512,512,0,237,275,5,Sri Lanka,46.29
Umar Akmal,Batter,3032,3626,0,0,0,467,467,0,226,241,6,Pakistan,48.39
GJ Bailey,Batter,3011,3672,0,0,0,544,544,0,381,163,4,Australia,70.04
DM Bravo,Batter,3007,4475,0,0,0,427,427,0,165,262,3,West Indies,38.64
BJ Haddin,Batter,3003,3648,0,0,0,545,545,0,381,164,3,Australia,69.91
M Raj,Batter,2949,4320,0,0,0,564,564,0,349,215,6,India,61.88
AM Rahane,Batter,2906,3812,0,0,0,571,571,0,354,217,5,India,62
AE Satterthwaite,Batter,2895,3618,29,839,1060,433,433,0,225,208,5,New Zealand,51.96
Imam-ul-Haq,Batter,2840,3492,0,0,0,451,451,0,220,231,3,Pakistan,48.78
T Taibu,Batter,2837,4237,0,20,25,275,275,0,66,209,3,Zimbabwe,24
IJL Trott,Batter,2819,3732,3,174,185,505,505,0,289,216,3,England,57.23
SFM Devine,Batter,2796,3194,55,1914,2489,433,433,0,225,208,8,New Zealand,51.96
Mohammad Yousuf,Batter,2783,3741,1,0,1,458,458,0,221,237,2,Pakistan,48.25
CR Ervine,Batter,2770,3631,0,0,0,277,277,0,66,211,6,Zimbabwe,23.83
MR Marsh,Batter,2762,2953,57,2047,2257,543,543,0,381,162,8,Australia,70.17
KL Rahul,Batter,2761,3197,0,0,0,580,580,0,360,220,4,India,62.07
DJ Bravo,Batter,2760,3506,193,5330,6052,427,427,0,165,262,9,West Indies,38.64
AC Jayangani,Batter,2760,3539,34,1295,1421,497,497,0,231,266,8,Sri Lanka,46.48
AJ Healy,Batter,2759,2897,0,0,0,533,533,0,372,161,8,Australia,69.79
Kamran Akmal,Batter,2746,3374,0,0,0,469,469,0,227,242,4,Pakistan,48.4
RS Bopara,Batter,2689,3520,41,1546,1858,509,509,0,291,218,5,England,57.17
WTS Porterfield,Batter,2670,3962,0,0,0,164,164,0,60,104,5,Ireland,36.59
TM Head,Batter,2645,2588,25,1062,1117,543,543,0,381,162,7,Australia,70.17
SE Marsh,Batter,2622,3318,0,0,0,545,545,0,381,164,4,Australia,69.91
MV Boucher,Batter,2617,2961,0,0,0,466,466,0,286,180,2,South Africa,61.37
KA Pollard,Batter,2608,2877,59,2086,2226,429,429,0,165,264,4,West Indies,38.46
Ahmed Shehzad,Batter,2555,3623,2,140,116,466,466,0,225,241,6,Pakistan,48.28
L Lee,Batter,2516,3044,2,56,86,471,471,0,290,181,6,South Africa,61.57
A Balbirnie,Batter,2438,3285,1,31,24,163,163,0,59,104,4,Ireland,36.2
